"customer_id","customer_name","email","signup_date","country"
"1","Timothy Anderson","sydneybowman@example.com","2024-08-17","Unknown"
"2","Richard Brown","hamiltonalejandro@example.org","2024-08-13","USA"
"3","Stephen Barrett","renee99@example.com","2025-09-06","USA"
"4","Danielle Thompson","dereklambert@example.org","2023-11-14","USA"
"5","Paula Castaneda","carolineroberts@example.org","2023-04-12","USA"
"6","John Thomas","zcampos@example.org","2025-07-09","Australia"
"7","Matthew Black","wjohnson@example.org","2024-04-26","UK"
"8","Justin Walker","judy85@example.com","2024-01-04","Unknown"
"9","Paul Mcbride","kingrobert@example.org","2024-09-19","UK"
"10","Renee Anderson","bennettjoseph@example.com","2025-02-17","UK"
"11","Larry Smith","kentmatthew@example.com","2025-11-29","UK"
"12","Jonathan Cox","dianecox@example.org","2025-02-15","USA"
"13","Joseph Chung","thomas72@example.net","2025-02-13","Germany"
"14","Sara Hill","rhonda08@example.org","2024-06-26","Australia"
"15","Lisa Sanders","daniellewaller@example.net","2025-06-18","Canada"
"16","Brian Martinez","cantudanielle@example.net","2025-02-12","Canada"
"17","Karen Walker","rporter@example.com","2024-08-16","Canada"
"18","Madison Lamb","silvagary@example.net","2024-07-27","Germany"
"19","Andrea Ortiz","banderson@example.org","2023-10-08","UK"
"20","Jennifer Wolf","vfarrell@example.net","2025-04-20","USA"
"21","Charles Gross","lthomas@example.net","2025-08-10","Canada"
"22","Kara Perkins","sean39@example.com","2025-06-03","Australia"
"23","Charlene Morgan","stevenharris@example.org","2023-09-24","USA"
"24","Mr. Roy Guzman","stanley96@example.net","2025-11-25","UK"
"25","Raymond Sanchez","julie31@example.org","2025-10-23","Australia"
"26","Dr. Steven Peters","timothy64@example.com","2023-05-30","Germany"
"27","Jennifer Ball","victoriadennis@example.org","2024-04-29","Germany"
"28","Deanna Davis","jlawrence@example.com","2025-05-08","Australia"
"29","Johnny Cole","achaney@example.net","2023-09-02","Germany"
"30","Debra Pena","wjohnson@example.org","2025-10-19","Canada"
"31","Jesse Stewart","reidjoanne@example.net","2024-01-07","Germany"
"32","Curtis Hamilton","craigdavid@example.net","2024-01-27","USA"
"33","Kevin Newman","ericksonbradley@example.org","2023-09-08","Germany"
"34","Caroline Cruz","xhenry@example.org","2024-11-27","Australia"
"35","Danny Mitchell","adavis@example.org","2024-08-28","Australia"
"36","Kaitlin Larson","leacheric@example.net","2026-01-09","Unknown"
"37","Erica Strickland","palmerrhonda@example.org","2023-10-05","Australia"
"38","Peter Parrish","edwardmiller@example.org","2026-03-03","UK"
"39","Amber Ochoa","oking@example.org","2026-01-01","Germany"
"40","Melanie Richardson","","2023-06-12","UK"
"41","Anthony Young","theodorejohnson@example.org","2025-09-26","Australia"
"42","Zachary Gibson","randall36@example.com","2026-01-16","UK"
"43","Kathryn White","mowens@example.net","2024-11-03","Canada"
"44","Cindy Martinez","adkinsalicia@example.org","2023-10-22","Australia"
"45","David Roth","ohunter@example.net","2024-10-02","USA"
"46","Thomas Price","arodriguez@example.org","2024-10-21","USA"
"47","Matthew Gallegos","michael95@example.net","2026-02-16","UK"
"48","Emily Stafford","tlewis@example.org","2026-02-19","Australia"
"49","Raven Thomas","benjaminwalker@example.org","2023-06-21","Germany"
"50","Lisa Douglas","romankatrina@example.com","2025-07-21","Australia"
"51","Donald Hansen","julia45@example.org","2023-10-06","Germany"
"52","Danielle Lewis","fosterwarren@example.com","2023-08-28","Australia"
"53","James Lopez","daniel05@example.org","2024-05-16","Canada"
"54","Alexa Mahoney","fitzgeraldaaron@example.net","2024-03-20","Canada"
"55","Brian Hernandez","jordan34@example.net","2023-11-11","UK"
"56","Jason Jones","victornorris@example.com","2024-11-06","USA"
"57","Melissa Henry","phillippage@example.org","2025-03-10","USA"
"58","Frank Thomas","joseph61@example.net","2024-07-12","Canada"
"59","Kenneth Fuller","","2025-01-27","USA"
"60","Lauren Herrera","mary14@example.net","2025-10-20","UK"
"61","Benjamin Roberts","downsjason@example.org","2023-12-20","Germany"
"62","Jennifer Mercado","johncox@example.org","2026-03-19","Australia"
"63","Amanda Martinez","robinsonbrandon@example.com","2024-02-22","Germany"
"64","Christopher Shepard","yolanda77@example.org","2025-10-05","USA"
"65","Alice Campbell","angelajames@example.com","2024-07-30","Germany"
"66","James Greer","ssmith@example.net","2023-11-20","USA"
"67","Christine Gallegos","tbaker@example.net","2025-04-05","USA"
"68","Carmen Schroeder","alyssawood@example.com","2023-08-18","Germany"
"69","Tammie Carr","sherrygreen@example.com","2026-01-08","Germany"
"70","Hector Williams","taylorwoods@example.net","2024-05-31","Germany"
"71","Andre Adams","aaronholden@example.org","2023-09-28","USA"
"72","Angela Smith","whitedawn@example.net","2025-06-07","USA"
"73","Debbie Greer","rileydonald@example.net","2025-07-26","Canada"
"74","Michelle Navarro","kevin61@example.org","2025-01-30","Canada"
"75","Zachary Carter","heather21@example.com","2025-03-13","Canada"
"76","Cory Potter","mitchellfrank@example.org","2024-06-16","UK"
"77","Robert Duffy","browncarla@example.com","2023-11-09","UK"
"78","Scott Hernandez","townsendkaren@example.net","2023-04-12","Australia"
"79","Laura Mack","kingkaitlyn@example.com","2023-04-07","Canada"
"80","Nicole Miranda","stephanie50@example.net","2025-01-13","Australia"
